"INSTID","UKPRN","ProviderName","CountryCode","CategoryName","FE_Provider","Rescinded"
"0275","10023290","West London College of Business and Management Sciences Limited","E","Designation for Teach Out","","1"
"0276","10032594","London School of Academics Ltd","E","England - Approved","","0"
"0277","10004006","London Centre of Contemporary Music","E","England - Approved","","1"
"0278","10008455","Regent College London","E","England - Approved (Fee Cap)","","0"
"0279","10004060","London School of Business and Finance (UK) Limited","E","England - Approved","","1"
"0280","10028216","Brit College","E","England - Approved","","1"
"0281","10022087","Futureworks","E","England - Approved (Fee Cap)","","0"
"0282","10013109","London Bridge Business Academy","E","England - Approved (Fee Cap)","","0"
"0283","10006243","St Patrick's International College","E","Designation for Teach Out","","1"
"0284","10001386","Chicken Shed Theatre Company","E","England - Approved (Fee Cap)","","0"
"0285","10000216","All Nations Christian College Limited","E","England - Approved","","0"
"0287","10000894","Bristol Baptist College","E","England - Approved","","0"
"0288","10032072","The Cambridge Theological Federation","E","England - Approved","","0"
"0291","10001419","Christie's Education Limited","E","England - Approved","","1"
"0292","10039082","City and Guilds of London Art School","E","England - Approved","","0"
"0293","10007912","Cliff College","E","England - Approved (Fee Cap)","","0"
"0294","10008173","University of the Built Environment","E","England - Approved (Fee Cap)","","0"
"0295","10007361","Waverley Abbey College","E","England - Approved (Fee Cap)","","0"
"0297","10023445","ICOM","E","Designation for Teach Out","","1"
"0298","10029682","The Islamic College","E","England - Approved","","0"
"0299","10009527","Istituto Marangoni Limited","E","England - Approved","","0"
"0300","10021682","Kaplan Open Learning (Essex) Limited","E","England - Approved (Fee Cap)","","0"
"0301","10008325","KLC School of Design","E","England - Approved","","1"
"0302","10009285","Kogan Academy of Dramatic Arts","E","Designation for Teach Out","","1"
"0304","10004036","London Film School Limited","E","England - Approved (Fee Cap)","","0"
"0306","10009612","Luther King House Educational Trust","E","England - Approved (Fee Cap)","","0"
"0307","10004879","Open College of the Arts","E","","","1"
"0308","10020439","Oxford Business College","E","Limited Designation","","1"
"0309","10019178","Point Blank Music School","E","England - Approved (Fee Cap)","","0"
"0310","10006093","Spurgeon's College","E","England - Approved (Fee Cap)","","0"
"0311","10045289","St Nicholas Montessori Training Limited","E","England - Approved","","1"
"0312","10032288","West Dean College","E","England - Approved","","0"
"0313","10010227","Oak Hill College","E","England - Approved","","1"
"0314","10004320","The Metanoia Institute","E","England - Approved (Fee Cap)","","0"
"0315","10032282","The Queen's Foundation for Ecumenical Theological Education","E","England - Approved (Fee Cap)","","0"
"0316","10021256","William Booth College","E","England - Approved","","0"
"0317","10023464","Trinity College Bristol","E","England - Approved","","0"
"0319","10023130","Nova College of Accounting and Business Ltd","E","England - Approved","","1"
"0320","10023453","Matrix College of Counselling and Psychotherapy Ltd","E","England - Approved (Fee Cap)","","0"
"0321","10032277","The Minster Centre","E","England - Approved","","0"
"0322","10053279","The Sherwood Institute","E","","","1"
"0323","10008071","AA School of Architecture","E","England - Approved","","0"
"0324","10042364","Ballet West","S","Optional Subscriber","","1"
"0326","10034324","Court Theatre Training Company Ltd","E","England - Approved (Fee Cap)","","0"
"0327","10021100","Regents Theological College","E","England - Approved","","0"
"0328","10023434","London School of Commerce & IT Limited","E","England - Approved","","0"
"0329","10041898","Apex College","E","England - Approved","","0"
"0330","10048199","Northeastern University London","E","England - Approved (Fee Cap)","","0"
"0331","10023452","The Markfield Institute of Higher Education","E","England - Approved","","0"
"0332","10010308","Cambridge Arts and Sciences Limited","E","England - Approved (Fee Cap)","","0"
"0333","10005451","Arden University","E","England - Approved (Fee Cap)","","0"
"0334","10007820","Grŵp Llandrillo Menai","W","Wales Further Education College","Yes","0"
"0335","10009614","Grŵp NPTC Group","W","Wales Further Education College","Yes","0"
"0336","10030408","Gower College Swansea","W","Wales Further Education College","Yes","0"
"0337","10000936","The University College of Osteopathy","E","England - Approved (Fee Cap)","","0"
"0338","10041974","London College of Business Sciences","E","Designation for Teach Out","","1"
"0339","10004365","Millennium Performing Arts Ltd","E","Limited Designation","","1"
"0340","10057951","London College of Creative Media Limited","E","England - Approved","","1"
"0341","10042679","International Business College Manchester Limited","E","England - Approved","","0"
"0342","10026921","Christ the Redeemer College","E","England - Approved","","0"
"0343","10029843","Waltham International College Limited","E","England - Approved (Fee Cap)","","0"
"0345","10020680","Belfast Metropolitan College","N","Northern Ireland Further Education College (NIFEC)","Yes","0"
"0346","10020372","Northern Regional College","N","Northern Ireland Further Education College (NIFEC)","Yes","0"
"0347","10020633","Southern Regional College","N","Northern Ireland Further Education College (NIFEC)","Yes","0"
"0348","10020699","South Eastern Regional College","N","Northern Ireland Further Education College (NIFEC)","Yes","0"
"0349","10020634","North West Regional College","N","Northern Ireland Further Education College (NIFEC)","Yes","0"
"0350","10020685","South West College","N","Northern Ireland Further Education College (NIFEC)","Yes","0"
"0351","10034449","Leeds Conservatoire","E","England - Approved (Fee Cap)","","0"
"0352","10080811","Hartpury University","E","England - Approved (Fee Cap)","","0"
"0353","10032036","Amity University [IN] London","E","England - Approved (Fee Cap)","","0"
"0354","10062810","The London School of Architecture","E","England - Approved (Fee Cap)","","0"
"0355","10004023","London College of International Business Studies Ltd","E","Limited Designation","","1"
"0356","10066551","LCCM AU UK Limited","E","Designation for Teach Out","","1"
"0357","10067853","ACM Guildford Limited","E","England - Approved (Fee Cap)","","0"
"0358","10042737","UK Business College Ltd","E","England - Approved","","0"
"0359","10004035","The Film Education Training Trust Limited","E","England - Approved","","0"
"0360","10067388","The Institute of Ismaili Studies","E","England - Approved","","0"
"0361","10023456","Newbold College","E","England - Approved","","0"
"0362","10003798","Le Cordon Bleu Limited","E","England - Approved","","0"
"0363","10042500","Global Banking School Limited","E","England - Approved","","0"
"0364","10007773","The Open University - England","E","England - Approved (Fee Cap)","","0"
"0365","10007773","The Open University - Northern Ireland","N","England - Approved (Fee Cap)","","0"
"0366","10007773","The Open University - Scotland","S","England - Approved (Fee Cap)","","0"
"0367","10007773","The Open University - Wales","W","England - Approved (Fee Cap)","","0"
"0400","10000911","BCNO Limited","E","England - Approved (Fee Cap)","","0"
"0401","10003758","LAMDA Limited","E","England - Approved (Fee Cap)","","0"
"0402","10009292","Royal Academy of Dramatic Art","E","England - Approved (Fee Cap)","","0"
"0403","10008098","Study Group","E","England - Approved","","0"
"0404","10020436","Royal School of Needlework (The)","E","England - Approved","","0"
"0405","10013220","Institute of Art - London Limited","E","England - Approved (Fee Cap)","","0"
"0406","10003212","Hult International Business School Ltd","E","England - Approved","","0"
"0407","10023458","The Sherwood Psychotherapy Training Institute Limited","E","England - Approved","","0"
"0408","10068157","University Centre Peterborough","E","England - Approved (Fee Cap)","","0"
"0409","10024024","Central Film School","E","England - Approved (Fee Cap)","","0"
"0410","10002313","ESCP Europe Business School","E","England - Approved","","0"
"0411","90000451","Harper and Keele Veterinary School","E","","","0"
"0412","10081618","The Council of the Inns of Court","E","England - Approved","","0"
"0413","10053304","Navitas UK Holdings Limited","E","England - Approved","","0"
"0414","10083476","The King's Foundation","E","England - Approved","","0"
"0415","10067355","Dyson Technical Training Limited","E","England - Approved","","0"
"0416","10023871","Results Consortium Limited","E","England - Approved","","0"
"0417","10067601","JSA Education Group Ltd.","E","England - Approved","","0"
"0418","10025197","University Centre Quayside Limited","E","England - Approved","","0"
"0419","10015688","David Game College Ltd","E","England - Approved (Fee Cap)","","0"
"0420","10026767","Dartington Hall Trust (The)","E","England - Approved","","0"
"0421","10067406","New Model Institute for Technology and Engineering (NMITE)","E","England - Approved (Fee Cap)","","0"
"0422","10082570","Kaplan International Colleges U.K. Limited","E","England - Approved (Fee Cap)","","0"
"0423","10082728","INTO University Partnerships Limited","E","England - Approved (Fee Cap)","","0"
"0424","10023442","The College of Osteopaths","E","England - Approved","","0"
"0425","10086591","Regent's University London Limited","E","England - Approved","","0"
"0426","10036456","Academy of Live Technology Ltd","E","England - Approved (Fee Cap)","","0"
"0427","10038772","British Academy of Jewellery Limited","E","England - Approved (Fee Cap)","","0"
"0428","10067623","The London Interdisciplinary School Ltd","E","England - Approved (Fee Cap)","","0"
"0429","10062833","Raindance Educational Services Limited","E","England - Approved","","0"
"0430","10066502","The College of Health Ltd","E","England - Approved (Fee Cap)","","0"
"0431","10057213","CEG UFP Limited","E","England - Approved","","0"
"0432","10062759","Applied Business Academy Limited","E","England - Approved","","0"
