id,ukprn,university,year,source_url,download_timestamp,pdf_path,txt_path,json_path
7018,10007167,The University of York,2020,,,,extracted_text/University_of_York_annual-report-2019.txt,
7019,10007138,The University of Northampton,2025,,,,extracted_text/University_of_Northampton_2024_uon-annual-report-and-financial-statements-for-year-ended-31-July-2023.txt,extracted_text/University_of_Northampton_2024_uon-annual-report-and-financial-statements-for-year-ended-31-July-2023.json
7020,10007139,University of Worcester,2024,,,,extracted_text/University_of_Worcester_2023_Report-and-Financial-Statements-31-July-2023.txt,
7021,10006566,The University of West London,2013,,,,extracted_text/The_University_of_West_London_staff-equality-diversity-and-inclusion-report-appendices-2012-13.txt,extracted_text/The_University_of_West_London_staff-equality-diversity-and-inclusion-report-appendices-2012-13.json
7022,10007761,Courtauld Institute of Art,2009,,,,extracted_text/Courtauld_Institute_of_Art_2008-09-Financial-Statements1.txt,extracted_text/Courtauld_Institute_of_Art_2008-09-Financial-Statements1.json
7023,10007768,The University of Lancaster,2024,,,,extracted_text/University_of_Lancaster_2023%20Lancaster%20University%20Annual%20Accounts.txt,extracted_text/University_of_Lancaster_2023%20Lancaster%20University%20Annual%20Accounts.json
7024,10014001,University of Suffolk,2021,,,,extracted_text/University_of_Suffolk_2020_Financial-Statements-for-year-ended-31-July-2020.txt,
7025,10007150,The University of Kent,2024,,,,extracted_text/University_of_Kent_Annual_Financial_Statements2024.txt,extracted_text/University_of_Kent_Annual_Financial_Statements2024.json
7026,10007801,University of Plymouth,2025,,,,extracted_text/University_of_Plymouth_Annual_Report_and_Financial_Statements_for_the_year_ended_31_July_2024.txt,extracted_text/University_of_Plymouth_Annual_Report_and_Financial_Statements_for_the_year_ended_31_July_2024.json
7027,10007835,Royal Academy of Music,2022,,,,extracted_text/Royal_Academy_of_Music_Royal-Academy-of-Music-Financial-Statements-Year-Ended-31-July-2021.txt,extracted_text/Royal_Academy_of_Music_Royal-Academy-of-Music-Financial-Statements-Year-Ended-31-July-2021.json
7028,10004180,The Manchester Metropolitan University,2020,,,,extracted_text/Manchester_Metropolitan_University_Annual_Statement_2019_20.txt,extracted_text/Manchester_Metropolitan_University_Annual_Statement_2019_20.json
7029,10003645,King's College London,2022,,,,extracted_text/Kings_College_London_financialstatements2022.txt,extracted_text/Kings_College_London_financialstatements2022.json
7030,10004063,London School of Economics and Political Science,2016,,,,extracted_text/London_School_of_Economics_LSE_2015-16AnnualAccounts-FINAL.txt,extracted_text/London_School_of_Economics_LSE_2015-16AnnualAccounts-FINAL.json
7031,10007151,The University of Lincoln,2010,,,,extracted_text/University_of_Lincoln_University-of-Lincoln-Financial-Statements-2009-10.txt,extracted_text/University_of_Lincoln_University-of-Lincoln-Financial-Statements-2009-10.json
7032,10007784,University College London,2017,,,,extracted_text/University_College_London_UCL_2016_ucl-annual-report.txt,extracted_text/University_College_London_UCL_2016_ucl-annual-report.json
7033,10006566,The University of West London,2017,,,,extracted_text/The_University_of_West_London_financial-statements-2016.txt,extracted_text/The_University_of_West_London_financial-statements-2016.json
7034,10006566,The University of West London,2000,,,,extracted_text/The_University_of_West_London_financial_statements_1999.txt,extracted_text/The_University_of_West_London_financial_statements_1999.json
7035,10007792,The University of Exeter,2019,,,,extracted_text/University_of_Exeter_annualreport2018-2019.txt,extracted_text/University_of_Exeter_annualreport2018-2019.json
7036,10007786,The University of Bristol,2002,,,,extracted_text/University_of_Exeter_UoE_Financial_Statements_2001_02.txt,extracted_text/University_of_Exeter_UoE_Financial_Statements_2001_02.json
7037,10005561,Royal Conservatoire of Scotland,2012,,,,extracted_text/Royal_Conservatoire_of_Scotland_2011-12-signed-accounts.txt,extracted_text/Royal_Conservatoire_of_Scotland_2011-12-signed-accounts.json
7038,10006840,The University of Birmingham,2005,,,,extracted_text/University_of_Birmingham_accounts2005.txt,extracted_text/University_of_Birmingham_accounts2005.json
7039,10014001,University of Suffolk,2018,,,,extracted_text/University_of_Suffolk_Financial-Statement-for-year-ended-31st-July-2017.txt,
7040,10014001,University of Suffolk,2017,,,,extracted_text/University_of_Suffolk_Financial-Statement-for-year-ended-31st-July-2016.txt,
7041,10006840,The University of Birmingham,2004,,,,extracted_text/University_of_Birmingham_accounts2004.txt,extracted_text/University_of_Birmingham_accounts2004.json
7042,10005523,Rose Bruford College of Theatre and Performance,2023,,,,extracted_text/Rose_Bruford_College_Remuneration-Committee-Annual-Report-20-Jan-2022.txt,extracted_text/Rose_Bruford_College_Remuneration-Committee-Annual-Report-20-Jan-2022.json
7043,10006566,The University of West London,1999,,,,extracted_text/The_University_of_West_London_financial_statements_1998.txt,extracted_text/The_University_of_West_London_financial_statements_1998.json
7044,10004930,Oxford Brookes University,2020,,,,extracted_text/Oxford_Brookes_University_EDI-Annual-Report-2019-20-Appendix.txt,extracted_text/Oxford_Brookes_University_EDI-Annual-Report-2019-20-Appendix.json
7045,10000291,Anglia Ruskin University,2007,,,,extracted_text/Anglia_Ruskin_University_annual_report_and_accounts_2006-07.txt,extracted_text/Anglia_Ruskin_University_annual_report_and_accounts_2006-07.json
7046,10006566,The University of West London,2018,,,,extracted_text/The_University_of_West_London_financial-statements-2017.txt,extracted_text/The_University_of_West_London_financial-statements-2017.json
7047,10000291,Anglia Ruskin University,2023,,,,extracted_text/Anglia_Ruskin_University_annual-report-and-accounts-2022-23.txt,extracted_text/Anglia_Ruskin_University_annual-report-and-accounts-2022-23.json
7048,10006566,The University of West London,2025,,,,extracted_text/The_University_of_West_London_Environmental-Report-2024-25.txt,extracted_text/The_University_of_West_London_Environmental-Report-2024-25.json
7049,10005553,Royal Holloway and Bedford New College,2024,,,,extracted_text/Royal_Holloway_Univ_of_London_royal-holloway-financial-statements-2023-24.txt,extracted_text/Royal_Holloway_Univ_of_London_royal-holloway-financial-statements-2023-24.json
7050,10007163,The University of Warwick,2022,,,,extracted_text/University_of_Warwick_accounts2122_-_with_cover.txt,
7051,10007164,"University of the West of England, Bristol",2017,,,,extracted_text/UWE_Bristol_uwe-bristol-annual-report-2016-17.txt,extracted_text/UWE_Bristol_uwe-bristol-annual-report-2016-17.json
7052,10006022,Southampton Solent University,2018,,,,extracted_text/Solent_University_2017_financial-statements-2017-18.txt,extracted_text/Solent_University_2017_financial-statements-2017-18.json
7053,10007138,The University of Northampton,2025,,,,extracted_text/University_of_Northampton_2024_environment-sustainability-report-20222023.txt,extracted_text/University_of_Northampton_2024_environment-sustainability-report-20222023.json
7054,10003645,King's College London,2023,,,,extracted_text/Kings_College_London_financialstatements2023.txt,extracted_text/Kings_College_London_financialstatements2023.json
